住所,lat,lon,位置精度,調査年,基準地m2単価円,坪単価万円,変動率,地積m2,前面道路幅員m,用途地域,区域区分,建蔽率,容積率,最寄駅,駅距離m,利用現況
静岡県 浜松市中央区三島町字中通５８９番３,34.6883325,137.7418944,exact,2025,70700,23.4,0.0,141,6.0,1住居,市街化,60,200,浜松,2000,住宅
静岡県 浜松市中央区三方原町２１４５番１外,34.7892014,137.7049803,exact,2025,62100,20.5,0.5,398,9.0,_,調区,60,200,浜松,11000,"住宅,店舗"
静岡県 浜松市中央区上島２丁目１１４９番１,34.7416508,137.7432708,exact,2025,98700,32.6,1.8,309,4.0,1住居,市街化,60,200,上島,280,住宅
静岡県 浜松市中央区上新屋町字高川１４８番外,34.7312667,137.7596161,exact,2025,57400,19.0,1.1,2042,6.0,工業,市街化,60,200,浜松,4600,工場
静岡県 浜松市中央区上浅田１丁目６３７番２,34.6957442,137.7263347,exact,2025,82800,27.4,0.9,165,6.6,1住居,市街化,60,200,浜松,1500,住宅
静岡県 浜松市中央区上西町字川田２６番８,34.7218225,137.7529653,exact,2025,98400,32.5,0.7,279,6.0,1住居,市街化,60,200,浜松,3300,住宅
静岡県 浜松市中央区中央２丁目１１０番１８,34.7093444,137.7377658,exact,2025,331000,109.4,3.8,236,25.0,商業,市街化,80,400,浜松,900,"住宅,店舗"
静岡県 浜松市中央区中島１丁目１０６１番,34.7033,137.7501067,exact,2025,94500,31.2,1.1,185,11.5,近商,市街化,80,200,浜松,1400,"住宅,店舗"
静岡県 浜松市中央区中田島町字浜新田１５３５番,34.6667542,137.7387192,exact,2025,21300,7.0,-2.7,243,6.5,2中専,市街化,60,200,浜松,4700,住宅
静岡県 浜松市中央区中野町字往還道北３９８番１外,34.7292986,137.7948803,exact,2025,60000,19.8,1.5,232,4.0,1住居,市街化,60,200,浜松,6400,住宅
静岡県 浜松市中央区丸塚町５４３番１６,34.7265586,137.7528761,exact,2025,99300,32.8,1.0,227,22.0,準住居,市街化,60,200,浜松,3600,事務所
静岡県 浜松市中央区佐藤１丁目２７４番,34.7150397,137.7471497,exact,2025,96200,31.8,1.2,185,6.0,2住居,市街化,60,200,浜松,2500,住宅
静岡県 浜松市中央区佐鳴台５丁目１２８番２外,34.7104408,137.6972819,exact,2025,124000,41.0,0.0,396,23.0,近商,市街化,80,200,浜松,4000,事務所
静岡県 浜松市中央区佐鳴台６丁目１２５番１１外,34.7029786,137.6910314,exact,2025,123000,40.7,0.0,228,6.0,1低専,市街化,40,60,浜松,4500,住宅
静岡県 浜松市中央区元浜町字三丁目１８０番２外,34.7156639,137.7329983,exact,2025,111000,36.7,0.9,123,8.2,商業,市街化,80,400,浜松,1600,"住宅,店舗"
静岡県 浜松市中央区元目町１２７番２５,34.7123922,137.7302811,exact,2025,121000,40.0,1.7,155,12.0,商業,市街化,80,500,浜松,1200,"住宅,店舗"
静岡県 浜松市中央区入野町字彦尾前７９２番３,34.7001414,137.6978225,exact,2025,91500,30.2,0.4,264,6.5,2住居,市街化,60,200,浜松,3700,住宅
静岡県 浜松市中央区入野町字村前９７８４番１外,34.6986569,137.678938,exact,2025,97000,32.1,0.8,1507,27.0,工業,市街化,60,200,浜松,5500,店舗
静岡県 浜松市中央区千歳町字後道７１番１,34.7044108,137.7306464,exact,2025,370000,122.3,2.8,88,7.0,商業,市街化,80,400,浜松,500,店舗
静岡県 浜松市中央区半田山５丁目２１４８番４,34.7754892,137.7400033,exact,2025,88800,29.4,0.6,209,6.0,1中専,市街化,60,200,浜松,9200,住宅
静岡県 浜松市中央区原島町字林１２８番３,34.7286661,137.7719711,exact,2025,84200,27.8,0.8,165,4.5,1住居,市街化,60,200,浜松,4900,住宅
静岡県 浜松市中央区向宿１丁目１００番２,34.7073547,137.7535272,exact,2025,83700,27.7,0.6,188,4.5,1住居,市街化,60,200,浜松,2200,住宅
静岡県 浜松市中央区和合町字中平２３７番３外,34.7363894,137.7130358,exact,2025,71000,23.5,1.1,208,4.5,1低専,市街化,50,80,浜松,5000,住宅
静岡県 浜松市中央区和田町字中島７９３番２,34.7216447,137.7661011,exact,2025,141000,46.6,2.2,2191,21.0,近商,市街化,80,200,浜松,4000,店舗
静岡県 浜松市中央区坪井町字中組北５４１１番,34.6839353,137.644125,exact,2025,41000,13.6,-0.2,314,5.3,1住居,市街化,60,200,浜松,9200,住宅
静岡県 浜松市中央区城北２丁目３３２番１０,34.7233325,137.7208253,exact,2025,116000,38.3,0.9,277,6.4,2中専,市街化,60,200,浜松,3000,住宅
静岡県 浜松市中央区増楽町１６４０番１,34.692058,137.6938956,exact,2025,69400,22.9,0.4,201,4.0,1住居,市街化,60,200,浜松,5000,住宅
静岡県 浜松市中央区大瀬町字鷺宮２７番９７,34.7561175,137.7629819,exact,2025,72400,23.9,0.7,196,6.0,1中専,市街化,60,200,さぎの宮,700,住宅
静岡県 浜松市中央区天神町３２６番１,34.7117542,137.7520939,exact,2025,91800,30.3,1.0,238,6.0,1住居,市街化,60,200,浜松,2400,住宅
静岡県 浜松市中央区安松町３３番６,34.6951625,137.7696314,exact,2025,75000,24.8,0.0,219,6.0,2中専,市街化,60,200,浜松,3800,住宅
静岡県 浜松市中央区富塚町字石田１２９９番３４,34.7287094,137.7060961,exact,2025,85400,28.2,0.4,200,5.0,1低専,市街化,50,80,浜松,5200,住宅
静岡県 浜松市中央区小沢渡町字村北５４２番２,34.6829911,137.6853211,exact,2025,40000,13.2,-0.5,178,4.2,_,調区,60,200,浜松,6000,住宅
静岡県 浜松市中央区小豆餅１丁目４０９番５外,34.7574792,137.7234428,exact,2025,85800,28.4,2.1,204,5.3,1住居,市街化,60,200,浜松,6900,住宅
静岡県 浜松市中央区小豆餅３丁目１４１６番７,34.7519689,137.7293989,exact,2025,82700,27.3,2.7,158,4.0,準工,市街化,60,200,浜松,6000,住宅
静岡県 浜松市中央区山手町４８９９番６外,34.7077067,137.7033889,exact,2025,166000,54.9,0.0,377,8.0,1中専,市街化,60,200,浜松,3500,住宅
静岡県 浜松市中央区常光町字一丁田１９４番６,34.7543178,137.7996375,exact,2025,40300,13.3,-0.2,297,6.8,_,調区,60,200,浜松,9700,住宅
静岡県 浜松市中央区常盤町１３２番１２外,34.7108058,137.7308083,exact,2025,169000,55.9,2.4,441,20.0,商業,市街化,80,500,浜松,950,事務所
静岡県 浜松市中央区幸１丁目２３３番２,34.7382086,137.7253544,exact,2025,88700,29.3,1.5,145,4.0,1住居,市街化,60,200,浜松,4500,住宅
静岡県 浜松市中央区幸２丁目２９４番１５,34.7374203,137.7316056,exact,2025,83000,27.4,0.0,287,4.5,1低専,市街化,40,60,浜松,4400,住宅
静岡県 浜松市中央区幸３丁目６４３番１６,34.7401247,137.7337503,exact,2025,84600,28.0,1.1,184,6.0,1中専,市街化,60,200,浜松,4600,住宅
静岡県 浜松市中央区志都呂町字東平３００番９１,34.7017053,137.6576633,exact,2025,77200,25.5,0.7,203,6.0,1中専,市街化,60,200,浜松,8000,住宅
静岡県 浜松市中央区文丘町１８番５,34.7255405,137.7137894,exact,2025,83700,27.7,0.7,189,4.0,1中専,市街化,60,200,浜松,3800,住宅
静岡県 浜松市中央区新橋町字村南１８５０番,34.6813072,137.6952736,exact,2025,43800,14.5,-0.2,201,8.2,_,調区,60,200,浜松,5700,住宅
静岡県 浜松市中央区新津町字下組６９５番外,34.7200464,137.7402353,exact,2025,124000,41.0,1.6,696,25.0,準住居,市街化,60,200,浜松,2100,店舗
静岡県 浜松市中央区本郷町字蓮の前４５２番,34.6946094,137.7611958,exact,2025,81000,26.8,0.0,180,8.0,2住居,市街化,60,200,浜松,3000,店舗
静岡県 浜松市中央区東伊場２丁目１１７７番５,34.6984417,137.7190964,exact,2025,111000,36.7,1.8,155,6.0,2住居,市街化,60,200,浜松,1900,住宅
静岡県 浜松市中央区松城町２１５番２７,34.7094369,137.7262761,exact,2025,146000,48.3,1.4,223,9.5,商業,市街化,80,500,浜松,1300,"住宅,店舗"
静岡県 浜松市中央区板屋町１０２番１３外,34.7072083,137.7332925,exact,2025,263000,86.9,3.1,396,10.0,商業,市街化,80,600,浜松,500,"住宅,店舗,事務所"
静岡県 浜松市中央区桜台１丁目１０８番,34.7705431,137.683228,exact,2025,35300,11.7,1.1,10538,8.0,工専,市街化,60,200,浜松,12000,工場
静岡県 浜松市中央区桜台３丁目１１５番１６,34.7689139,137.6696931,exact,2025,68600,22.7,0.7,188,6.0,1低専,市街化,50,80,浜松,13000,住宅
静岡県 浜松市中央区海老塚２丁目１１５番２,34.698005,137.7316678,exact,2025,108000,35.7,1.9,425,25.0,商業,市街化,80,500,浜松,880,"住宅,事務所"
