住所,公示m2単価円,相続税路線価,地積m2,前面道路幅員m,建蔽率,容積率,交通距離m,lat,lon,位置精度,価格時点年,坪単価万円,用途地域,最寄交通施設,周辺利用状況
浜松市中央区三島町字市八88番1外,70600.0,55000.0,476.0,20.0,60.0,200.0,1700.0,34.688896,137.745956,exact,2026,23.3,都市計画区域外,浜松,店舗、営業所が混在する幹線道路沿いの商業地域
浜松市中央区三方原町1494番3,60500.0,0.0,328.0,7.2,60.0,200.0,10000.0,34.781647,137.711975,exact,2026,20.0,指定なし（用途地域外）,浜松,一般住宅と農地等が混在する郊外の住宅地域
浜松市中央区上島3-23-28,112500.0,85000.0,211.0,6.0,60.0,200.0,400.0,34.737988,137.740402,exact,2026,37.2,白地地域（都市計画区域内未指定）,上島,戸建住宅を中心に事務所等も見られる住宅地域
浜松市中央区上西町字川田26番8,98800.0,75000.0,279.0,6.0,60.0,200.0,3300.0,34.723351,137.758957,exact,2026,32.7,白地地域（都市計画区域内未指定）,浜松,住宅の中に空地が見られる区画整理済の住宅地域
浜松市中央区下池川町20-4,114500.0,90000.0,140.0,25.0,80.0,300.0,1800.0,34.716984,137.727432,exact,2026,37.9,第二種中高層住居専用地域,浜松,小売店舗と事務所等が混在する路線商業地域
浜松市中央区下石田町字中芝間1025番2,67750.0,51000.0,208.0,5.5,60.0,200.0,7400.0,34.7402,137.783447,exact,2026,22.4,白地地域（都市計画区域内未指定）,浜松,一般住宅の中に営業所等が見られる住宅地域
浜松市中央区下石田町字中芝間987番1外,80500.0,62000.0,1377.0,25.0,60.0,200.0,7300.0,34.7402,137.783447,exact,2026,26.6,その他,浜松,店舗のほかに営業所等が混在する路線商業地域
浜松市中央区中央1-8-27,334000.0,235000.0,1472.0,40.0,80.0,300.0,980.0,34.711075,137.73584,exact,2026,110.4,第二種中高層住居専用地域,浜松,マンション、官公署が見られる区画整理済の地域
浜松市中央区中島3-11-9,80600.0,63000.0,231.0,5.5,60.0,200.0,1500.0,34.705391,137.746933,exact,2026,26.6,白地地域（都市計画区域内未指定）,浜松,住宅、アパート、工場等が混在する既成住宅地域
浜松市中央区中沢町2-16,88400.0,69000.0,178.0,5.0,60.0,200.0,2600.0,34.721622,137.728867,exact,2026,29.2,特定用途制限地域など特例,浜松,中規模一般住宅が多い既成の住宅地域
浜松市中央区中郡町字万斛東1815番1,58000.0,0.0,284.0,10.0,60.0,200.0,9700.0,34.773895,137.77951,exact,2026,19.2,指定なし（用途地域外）,浜松,一般住宅のほかに店舗等も見られる住宅地域
浜松市中央区住吉1-15-7,114000.0,89000.0,247.0,4.0,60.0,200.0,3600.0,34.728344,137.724762,exact,2026,37.7,特定用途制限地域など特例,浜松,戸建住宅を中心に共同住宅等も見られる住宅地域
浜松市中央区住吉3-12-31,109000.0,86000.0,577.0,25.0,80.0,300.0,4000.0,34.728344,137.724762,exact,2026,36.0,第二種中高層住居専用地域,浜松,営業所、飲食、物販店舗が建ち並ぶ路線商業地域
浜松市中央区佐藤1-24-2,98700.0,79000.0,153.0,8.0,80.0,200.0,1900.0,34.712879,137.744385,exact,2026,32.6,第二種中高層住居専用地域,浜松,店舗、事務所、住宅等が建ち並ぶ商業地域
浜松市中央区佐藤3-7-6,111000.0,88000.0,182.0,32.0,80.0,300.0,2300.0,34.712879,137.744385,exact,2026,36.7,第二種中高層住居専用地域,浜松,中低層の店舗等が建ち並ぶ路線商業地域
浜松市中央区佐鳴台2-9-5,130000.0,100000.0,249.0,6.0,60.0,200.0,3900.0,34.703594,137.700989,exact,2026,43.0,工業専用地域,浜松,中規模一般住宅が多い区画整然とした住宅地域
浜松市中央区佐鳴台5-11-4,104000.0,79000.0,330.0,6.0,60.0,200.0,4100.0,34.703594,137.700989,exact,2026,34.4,工業専用地域,浜松,中規模一般住宅が多い区画整然とした住宅地域
浜松市中央区元城町216番19,216000.0,170000.0,391.0,36.0,80.0,600.0,1200.0,34.711349,137.726501,exact,2026,71.4,第一種住居地域,浜松,中高層の事務所ビルが建ち並ぶ商業地域
浜松市中央区元浜町32番1,140000.0,105000.0,506.0,30.0,80.0,500.0,1400.0,34.715229,137.732635,exact,2026,46.3,第一種住居地域,浜松,中高層の店舗兼共同住宅等が見られる商業地域
浜松市中央区入野町字彦尾前726番1外,117500.0,93000.0,1204.0,25.0,60.0,200.0,3500.0,34.701485,137.682983,exact,2026,38.8,都市計画区域外,浜松,店舗、事務所が建ち並ぶ郊外の路線商業地域
浜松市中央区入野町字石荒山16416番9外,91100.0,72000.0,239.0,6.0,60.0,200.0,6100.0,34.701485,137.682983,exact,2026,30.1,工業専用地域,浜松,一般住宅が多い丘陵地の区画整理済の住宅地域
浜松市中央区八幡町字五丁目125番2外,115000.0,90000.0,123.0,29.0,80.0,300.0,1400.0,34.715309,137.735886,exact,2026,38.0,第二種中高層住居専用地域,浜松,中低層の店舗兼住宅等が多い駅近くの商業地域
浜松市中央区初生町1336番3,86500.0,68000.0,205.0,5.5,60.0,200.0,8200.0,34.764103,137.727509,exact,2026,28.6,白地地域（都市計画区域内未指定）,浜松,一般住宅が建ち並ぶ利便性のよい住宅地域
浜松市中央区助信町41-37,118000.0,88000.0,185.0,4.5,60.0,200.0,300.0,34.722408,137.735687,exact,2026,39.0,白地地域（都市計画区域内未指定）,助信,一般住宅のほかに事業所等が見られる住宅地域
浜松市中央区北島町字石畑396番1,71950.0,57000.0,187.0,5.5,60.0,200.0,6500.0,34.730206,137.781448,exact,2026,23.8,白地地域（都市計画区域内未指定）,浜松,中小規模の一般住宅が多い郊外の住宅地域
浜松市中央区向宿2-23-12,83650.0,67000.0,172.0,8.0,80.0,200.0,1800.0,34.707256,137.751694,exact,2026,27.7,第二種中高層住居専用地域,浜松,店舗、事務所等が建ち並ぶ国道沿いの商業地域
浜松市中央区和合北4-29-7,77000.0,58000.0,241.0,5.5,60.0,200.0,6100.0,34.736572,137.72084,exact,2026,25.5,工業専用地域,浜松,中規模一般住宅が建ち並ぶ既成の住宅地域
